ablation_name,seed,label_shuffle,random_embeddings,loss_selection,num_folds,mean_pos_weight,mean_neg_weight,n_samples,n_pos,n_neg,mean_train_size,mean_test_size,train_accuracy_mean,train_accuracy_std,test_accuracy,test_auroc,test_auprc,test_prevalence,hidden_dim
embedding_hidden_32,46,False,False,bce,5,1.0,1.0,762,254,508,609.6,152.4,0.6397501529347371,0.012415792356568804,0.6128608923884514,0.5287293074586149,0.3464816041174891,0.3333333333333333,32
embedding_hidden_32,47,False,False,bce,5,1.0,1.0,762,254,508,609.6,152.4,0.6141794648894041,0.04226521337929343,0.5590551181102362,0.5121287742575485,0.35370627075567823,0.3333333333333333,32
embedding_hidden_32,48,False,False,bce,5,1.0,1.0,762,254,508,609.6,152.4,0.623675907144467,0.030243328891096863,0.6181102362204725,0.5424778349556699,0.38117507571087417,0.3333333333333333,32
embedding_hidden_32,49,False,False,bce,5,1.0,1.0,762,254,508,609.6,152.4,0.6351749895360442,0.03987278514916192,0.5984251968503937,0.48060171120342243,0.3376909974986645,0.3333333333333333,32
embedding_hidden_32,50,False,False,bce,5,1.0,1.0,762,254,508,609.6,152.4,0.6427138671560578,0.014712628473175405,0.6062992125984252,0.5221185442370885,0.36963500806731936,0.3333333333333333,32
embedding_hidden_32,51,False,False,bce,5,1.0,1.0,762,254,508,609.6,152.4,0.5987700827457421,0.029445586426146274,0.5590551181102362,0.49086273172546346,0.3310897408006685,0.3333333333333333,32
embedding_hidden_64,42,False,False,bce,5,1.0,1.0,762,254,508,609.6,152.4,0.6161434688818057,0.028615212984497464,0.6128608923884514,0.5154147808295617,0.35833408387459215,0.3333333333333333,64
embedding_hidden_64,43,False,False,bce,5,1.0,1.0,762,254,508,609.6,152.4,0.6013812421520333,0.04375296400703089,0.573490813648294,0.523746047492095,0.3439187533054154,0.3333333333333333,64
embedding_hidden_64,44,False,False,bce,5,1.0,1.0,762,254,508,609.6,152.4,0.6167713062236388,0.026389873101469702,0.5800524934383202,0.5322013144026289,0.36234424700735157,0.3333333333333333,64
embedding_hidden_64,45,False,False,bce,5,1.0,1.0,762,254,508,609.6,152.4,0.6358366335039763,0.0113595771143432,0.6220472440944882,0.5383393266786534,0.3533304709875074,0.3333333333333333,64
embedding_hidden_64,46,False,False,bce,5,1.0,1.0,762,254,508,609.6,152.4,0.5876251650085321,0.058748075068640555,0.562992125984252,0.5139267778535557,0.34676096247053956,0.3333333333333333,64
